User,favoriteColor,yearOfBirth,country,easyNav,colorblind,device,userID,easyRead,avgNumberOPurchases,appealingColor,gender,T. scene time (ms),Scene R.T (ms),Selection R.T (ms),Nº Options offered,R.T / Nº options,Nº change opinion,Nº characters/second,Nº words/second,Nº characters removed,Nº times left and right arrows,Ideal D. mouse position and comp,Real D. mouse position and comp,Difference real e ideal D.,Mouse movement T. (ms),S. mouse/real D.,S. mouse/ideal D.,Mouse corrections,pixel precision,pixel % precision,Nº error cliks,Deviation
"NRB49947338220116889897454237102023","yellow",2000,"FR",4,"no","smartphone","2",5,1,2,"male",4542,4528,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"IZR62686006900116891447429827122023","purple",2004,"-",6,"no","smartphone","2",7,1,4,"female",2638,2629,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FOG70945147771216890157748047102023","blue",2002,"DE",2,"no","computer","1",1,1,2,"male",14261,86,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",3,"-"
"VZK30736422266416895087383257162023","red",2002,"PK",7,"no","computer","1",1,1,1,"male",782758,1543,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",17,"-"
"SVW77378158335616892418641567132023","red",1978,"ES",2,"no","computer","2",4,1,2,"male",2107,1264,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"OZH12061736008116890211097987102023","blue",1989,"DE",2,"no","smartphone","2",4,1,2,"female",2925,2904,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FJN43149879137016890047486697102023","blue",2000,"DE",6,"no","smartphone","2",6,1,4,"male",2469,2453,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SVX41127009648616889899328257102023","orange",1924,"AO",1,"yes","smartphone","2",2,5,1,"female",2479,2442,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"LWH67595054885816889900234927102023","green",2000,"FR",2,"no","smartphone","1",5,1,1,"female",2601,2560,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"DZW42522250831616890092452847102023","green",1993,"DE",5,"no","smartphone","1",7,1,6,"male",49839,12884,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4,"-"
"RGW96838398782916891538653157122023","purple",2004,"PK",6,"no","smartphone","2",6,1,7,"female",3518,3507,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"MWH75442736610116890091475977102023","green",2002,"DE",4,"yes","smartphone","2",5,1,3,"male",12062,8837,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"FYI90927861710016891673646347122023","blue",2003,"FR",5,"no","computer","1",5,1,5,"female",23413,2474,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
"DBX76170614480416890068809957102023","other",1993,"FR",1,"no","computer","1",1,2,1,"male",2667,1260,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FNB14177910843616889903371137102023","blue",1999,"-",1,"no","smartphone","1",7,2,1,"male",5661,5653,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"RFE61778527350216891536597397122023","yellow",2004,"PK",5,"no","computer","1",7,3,7,"male",23114,12909,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,"-"
"BVG65511674214816890214620337102023","blue",1972,"DE",6,"yes","smartphone","1",6,4,4,"female",4665,4622,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"KOU48955932056816890058320877102023","blue",1985,"FR",3,"yes","smartphone","2",3,1,2,"male",112360,2038,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SLL78312524361316889951201347102023","blue",1999,"AR",6,"no","smartphone","1",3,1,1,"female",2192,2178,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"FQV12497128556116890617068157112023","blue",1975,"FR",5,"no","smartphone","1",5,1,4,"female",5830,5810,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"CVT44889417907116890237955637102023","green",2004,"ES",6,"no","smartphone","1",7,1,5,"female",1819,1802,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"TDA34041945763816890822944237112023","red",1966,"ES",6,"no","computer","1",7,1,1,"male",2440,38,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"XEW73246512819516891412489627122023","blue",1964,"FR",4,"no","smartphone","1",5,1,3,"male",3300,200,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"GBR61077898644416889888559857102023","blue",1982,"ES",2,"no","smartphone","2",2,2,2,"female",2202,2197,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"JRE17047295394316892419994887132023","red",2003,"PK",4,"no","computer","2",5,1,2,"male",6715,806,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"MOX50553766952416890620629667112023","blue",1972,"ES",1,"no","computer","1",1,1,1,"male",2624,1771,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"LYV32417849780516890609455597112023","blue",1970,"-",1,"no","computer","2",1,1,1,"female",5472,4376,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-"
"SSM31777981080416890050130717102023","other",2005,"FR",1,"no","computer","1",7,2,1,"female",202046824,3944,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2,"-"
